feature,importance_mean,importance_std,val_imp_0,val_imp_1
SOKAK_RISK_SKORU,0.03638124622122341,0.004382800728390479,0.03199844549283293,0.040764046949613886
TUKETIM_M22_group_240-270,0.025190207489475813,0.010327344661404558,0.014862862828071255,0.03551755215088037
DEMAND_M1_group_6.0-6.4,0.02472379661295926,0.015795651885778195,0.008928144727181064,0.040519448498737454
TUKETIM_M2_group_250-275,0.023842904642319807,0.0002700864738305886,0.024112991116150395,0.023572818168489218
TUKETIM_M20_group_700-üzeri,0.023715385752463514,0.009747159533630978,0.013968226218832536,0.03346254528609449
DEMAND_M2_group_4.95-5.5,0.023228856463642478,0.002329562780343797,0.02089929368329868,0.025558419243986275
SAYAC_YAS_2.0,0.022699607134061828,0.002858812109924447,0.01984079502413738,0.025558419243986275
DEMAND_M12_group_EKSIK,0.022285617132523527,0.002248783426389789,0.02003683370613374,0.024534400558913316
TUKETIM_M21_group_200-225,0.022199949123259677,0.009271168533424967,0.01292878058983471,0.031471117656684644
TUKETIM_M2_group_0-25,0.02216688034019093,0.006341274353530768,0.015825605986660163,0.0285081546937217
TUKETIM_M21_group_175-200,0.02176102538343777,0.006747129310283928,0.015013896073153843,0.0285081546937217
DEMAND_M1_group_5.2-5.6,0.021745479811220048,0.018773968687517406,0.0029715111237026415,0.040519448498737454
DEMAND_M12_group_9.0 üzeri,0.021727454859781836,0.005822483793756661,0.015904971066025175,0.027549938653538497
DEMAND_M4_group_1.2-1.6,0.021715677546170264,0.004846650724113111,0.016869026822057154,0.026562328270283375
TUKETIM_M12_group_30-60,0.0215443162251312,0.003974770105072745,0.017569546120058455,0.025519086330203944
DEMAND_M10_group_1.0-1.5,0.02134484854746893,0.00023937622831088357,0.021105472319158047,0.021584224775779814
TUKETIM_M23_group_EKSIK,0.021298376100247374,0.004260043143738901,0.017038332956508473,0.025558419243986275
TUKETIM_M2_group_275-300,0.02128418809198046,0.0032762800427787453,0.018007908049201715,0.024560468134759206
TUKETIM_M14_group_425-450,0.02126716521799643,0.0022925806563487416,0.01897458456164769,0.023559745874345173
DEMAND_M10_group_2.5-3.0,0.021219667621805327,0.012291522894624263,0.008928144727181064,0.03351119051642959
TUKETIM_M10_group_0-25,0.021199708769947256,0.0004021278409858109,0.020797580928961446,0.021601836610933067
DEMAND_M3_group_9.3 üzeri,0.020698626371937034,0.007835983348239817,0.012862643023697218,0.02853460972017685
DEMAND_M4_group_2.8-3.2,0.020639512264150228,0.007842421518394815,0.012797090745755413,0.028481933782545044
TUKETIM_M16_group_330-360,0.02062962848083072,0.009761287451435563,0.010868341029395157,0.030390915932266283
TUKETIM_M18_group_90-120,0.020382344472375746,0.005136741857828198,0.015245602614547549,0.025519086330203944
TUKETIM_M21_group_275-300,0.020380687853060242,0.005653147352323917,0.02603383520538416,0.014727540500736325
TUKETIM_M12_group_420-450,0.020310592915041226,0.0006913271102083618,0.021001920025249587,0.019619265804832864
TUKETIM_M2_group_150-175,0.019778933054156622,0.003793885114332596,0.015985047939824026,0.023572818168489218
TUKETIM_M6_group_30-60,0.019761164634413353,0.00975518993823643,0.010005974696176922,0.029516354572649783
TUKETIM_M16_group_150-180,0.019752542109662985,0.0067570307916625105,0.012995511318000474,0.026509572901325495
TUKETIM_M14_group_250-275,0.01974577826058599,0.014794596994504361,0.004951181266081628,0.03454037525509035
TUKETIM_M2_group_425-450,0.019738894617257197,0.0038339235512320213,0.015904971066025175,0.023572818168489218
TUKETIM_M18_group_270-300,0.019692754252868094,0.012795368521861805,0.006897385731006289,0.0324881227747299
TUKETIM_M12_group_240-270,0.019686056320905365,0.005859135409853389,0.013826920911051976,0.025545191730758754
TUKETIM_M7_group_210-240,0.01966204634454677,0.006864955598791356,0.012797090745755413,0.026527001943338124
DEMAND_M3_group_4.4-4.95,0.019243599916910548,0.009291009803266304,0.009952590113644244,0.02853460972017685
DEMAND_M11_group_3.5-4.0,0.0192266588015505,0.0083011683836538,0.0109254904178967,0.0275278271852043
DEMAND_M12_group_3.5-4.0,0.019220045074097802,0.007324541296471643,0.01189550377762616,0.026544586370569445
TUKETIM_M3_group_700-üzeri,0.019213431346645105,0.001584149582316341,0.020797580928961446,0.017629281764328764
ABONELIK_SURESI_yüzde_28,0.019184600546237107,0.012326199650130099,0.006858400896107009,0.031510800196367206
TUKETIM_M6_group_90-120,0.01880571203672382,0.00113266343584012,0.01993837547256394,0.0176730486008837
TUKETIM_M5_group_60-90,0.01880571203672382,0.00113266343584012,0.01993837547256394,0.0176730486008837
SAYAC_MODEL_group_%1-3,0.018795116802390988,0.013782114464155448,0.005013002338235539,0.032577231266546436
TUKETIM_M7_group_390-420,0.01877133017068866,0.011794930533234882,0.0069763996374537784,0.030566260703923542
TUKETIM_M11_group_120-150,0.018764206266314032,0.013813025000232404,0.004951181266081628,0.032577231266546436
DEMAND_M1_group_2.0-2.4,0.018757215768875457,0.010759138803774326,0.00799807696510113,0.029516354572649783
TUKETIM_M19_group_75-100,0.018755699838846562,0.009778909881330289,0.008976789957516274,0.02853460972017685
TUKETIM_M2_group_350-375,0.018751231625428466,0.002846260559403291,0.015904971066025175,0.021597492184831757
TUKETIM_M15_group_350-375,0.018735964394304916,0.008836284333570754,0.009899680060734162,0.02757224872787567
TUKETIM_M8_group_350-375,0.018713792526398265,0.0068182887487721056,0.01189550377762616,0.02553208127517037
TUKETIM_M18_group_300-330,0.018709743483128316,0.008862505244747354,0.009847238238380962,0.02757224872787567
TUKETIM_M19_group_EKSIK,0.01868753271179263,0.00884029447341167,0.009847238238380962,0.0275278271852043
TUKETIM_M19_group_25-50,0.018648361821672343,0.003933866946123354,0.014714494875548989,0.022582228767795698
DEMAND_M3_group_2.75-3.3,0.018277628596172824,0.005282117278172349,0.012995511318000474,0.023559745874345173
DEMAND_M2_group_7.1-7.65,0.018226535835210556,0.011289818737439228,0.006936717097771328,0.029516354572649783
TUKETIM_M8_group_0-25,0.018213380136690716,0.007345039107295559,0.010868341029395157,0.025558419243986275
TUKETIM_M5_group_210-240,0.01819292115205151,0.009312990530564558,0.008879930621486953,0.02750591168261607
DEMAND_M5_group_0-0.5,0.018117198758848096,0.003475910325465903,0.014641288433382194,0.021593109084314
DEMAND_M9_group_7.2 üzeri,0.018082645815362286,0.006396900455194088,0.024479546270556374,0.011685745360168198
TUKETIM_M21_group_250-275,0.01787875404395889,0.00815508116142527,0.02603383520538416,0.009723672882533618
TUKETIM_M9_group_675-700,0.017864730262992956,0.0031371897622566314,0.021001920025249587,0.014727540500736325
TUKETIM_M15_group_625-650,0.017864730262992956,0.0031371897622566314,0.021001920025249587,0.014727540500736325
TUKETIM_M21_group_500-525,0.017864730262992956,0.0031371897622566314,0.021001920025249587,0.014727540500736325
TUKETIM_M16_group_600-630,0.017864730262992956,0.0031371897622566314,0.021001920025249587,0.014727540500736325
TUKETIM_M21_group_600-625,0.017864730262992956,0.0031371897622566314,0.021001920025249587,0.014727540500736325
DEMAND_M1_group_8.8-9.2,0.017864730262992956,0.0031371897622566314,0.021001920025249587,0.014727540500736325
TUKETIM_M18_group_EKSIK,0.01780251597582655,0.016791724803981223,0.0010107911718453266,0.03459424077980777
DEMAND_M6_group_2.4-2.8,0.01776975809682857,0.0118089724200926,0.005960785676735969,0.02957873051692117
ABONELIK_SURESI_yüzde_0,0.017762296384037424,0.013788542249229152,0.003973754134808272,0.031550838633266576
TUKETIM_M6_group_150-180,0.017762177751631858,0.007809587637987614,0.009952590113644244,0.025571765389619472
DEMAND_M11_group_3.0-3.5,0.0177518959504272,0.008775105992910925,0.008976789957516274,0.026527001943338124
TUKETIM_M14_group_75-100,0.017694751761406224,0.008814821139919271,0.008879930621486953,0.026509572901325495
TUKETIM_M4_group_240-270,0.01768310452898153,0.0019361612758513336,0.015746943253130197,0.019619265804832864
DEMAND_M4_group_6.0-6.4,0.017657772420978934,0.0029432775454299454,0.014714494875548989,0.02060104996640888
DEMAND_M4_group_5.6-6.0,0.017657772420978934,0.0029432775454299454,0.014714494875548989,0.02060104996640888
ABONELIK_SURESI_yüzde_21,0.01744112716817242,0.00655480483312515,0.02399593200129757,0.010886322335047272
TUKETIM_M7_group_240-270,0.01734762995207828,0.003654290073171307,0.021001920025249587,0.013693339878906974
TUKETIM_M17_group_270-300,0.017347173634191138,0.002689660071942601,0.02003683370613374,0.014657513562248536
SOB_RISK_SKORU,0.01733257234798813,0.00524965641980768,0.012082915928180449,0.02258222876779581
TUKETIM_M8_group_150-175,0.017281835028553127,0.0004128082064959737,0.016869026822057154,0.0176946432350491
DEMAND_M8_group_2.8-3.2,0.01725360971778378,0.0063281192998870806,0.0109254904178967,0.02358172901767086
TUKETIM_M22_group_510-üzeri,0.01722787605400561,0.004365233030308391,0.012862643023697218,0.021593109084314
TUKETIM_M7_group_300-330,0.017225664907172256,0.004363021883475038,0.012862643023697218,0.021588686790647293
TUKETIM_M12_group_510-üzeri,0.017220579598942187,0.006352238569547031,0.010868341029395157,0.023572818168489218
TUKETIM_M7_group_90-120,0.0172082754802369,0.007361037241855939,0.009847238238380962,0.02456931272209284
DEMAND_M2_group_2.75-3.3,0.01720538745663802,0.009339198913931424,0.007866188542706598,0.026544586370569445
DEMAND_M5_group_0.5-1.0,0.017198678039098803,0.0004959651959502986,0.016702712843148504,0.0176946432350491
DEMAND_M6_group_0.8-1.2,0.017183523461512806,0.0034263187185116784,0.013757204743001128,0.020609842180024485
TUKETIM_M19_group_250-275,0.017177773586378287,0.005404455181417411,0.011773318404960875,0.022582228767795698
TUKETIM_M3_group_575-600,0.01686839148170244,0.004133528543547149,0.021001920025249587,0.01273486293815529
TUKETIM_M2_group_375-400,0.016799807150537138,0.000894836084511963,0.015904971066025175,0.0176946432350491
TUKETIM_M19_group_175-200,0.0167538595928462,0.005828369174949499,0.0109254904178967,0.022582228767795698
DEMAND_M2_group_6.55-7.1,0.01673447311542381,0.012812929781725158,0.003921543333698652,0.029547402897148967
DEMAND_M12_group_7.5-8.0,0.016731859520554726,0.009795142422783398,0.006936717097771328,0.026527001943338124
TUKETIM_M20_group_25-50,0.016724505129808,0.0019361550105367331,0.014788350119271265,0.01866066014034473
TUKETIM_M17_group_210-240,0.016709396324494308,0.010818430860709993,0.0058909654637843145,0.0275278271852043
TUKETIM_M20_group_EKSIK,0.016697544998592828,0.011837064721584023,0.004860480277008805,0.02853460972017685
DEMAND_M6_group_1.2-1.6,0.016319623308723386,0.0004146522426982102,0.015904971066025175,0.016734275551421596
TUKETIM_M23_group_250-275,0.016319220399068468,0.0042993363019624975,0.01201988409710597,0.020618556701030966
DEMAND_M12_group_8.0-8.5,0.0163067423545023,0.0004017712884771263,0.015904971066025175,0.016708513642979428
DEMAND_M12_group_0.5-1.0,0.01630554521064559,0.0013675033902381117,0.014938041820407477,0.0176730486008837
TUKETIM_M23_group_425-450,0.01628063695394749,0.00037566588792231626,0.015904971066025175,0.016656302841869808
TUKETIM_M11_group_150-180,0.016280578425127923,0.021182602723620214,-0.004902024298492291,0.03746318114874814
TUKETIM_M10_group_50-75,0.01627923292768535,0.00432181703872353,0.01195741588896182,0.02060104996640888
TUKETIM_M5_group_90-120,0.01627037519832003,0.010274211172249414,0.005996164026070616,0.026544586370569445
TUKETIM_M15_group_425-450,0.01626171499697865,0.011310533730897021,0.004951181266081628,0.02757224872787567
DEMAND_M9_group_0.8-1.2,0.016261517468954656,0.008307795253138184,0.007953722215816472,0.02456931272209284
TUKETIM_M18_group_0-30,0.016254240456312075,0.015256559740055131,0.0009976807162569434,0.031510800196367206
DEMAND_M12_group_7.0-7.5,0.016254007114542335,0.003391364090845117,0.012862643023697218,0.019645371205387452
TUKETIM_M24_group_EKSIK,0.016252686023652707,0.010291900346916738,0.005960785676735969,0.026544586370569445
DEMAND_M10_group_0.5-1.0,0.01623457556031277,0.015197210729606836,0.0010373648307059335,0.031431786289919605
DEMAND_M12_group_4.5-5.0,0.016228546474348793,0.013257035350646151,0.0029715111237026415,0.029485581824994944
TUKETIM_M15_group_0-25,0.016226374394988086,0.007346443773501132,0.008879930621486953,0.023572818168489218
TUKETIM_M24_group_125-150,0.016221991275201797,0.004387850904822688,0.01183414037037911,0.020609842180024485
DEMAND_M7_group_2.4-2.8,0.015812961194355657,0.0037930770972496863,0.01201988409710597,0.019606038291605343
DEMAND_M7_group_7.2-7.6,0.015812227367890896,9.274369813427885e-05,0.015904971066025175,0.015719483669756618
TUKETIM_M6_group_180-210,0.015783964707845044,0.009787800681774428,0.005996164026070616,0.025571765389619472
DEMAND_M2_group_9.3 üzeri,0.015781070883139736,0.016751406640874933,-0.0009703357577351968,0.03253247752401467
TUKETIM_M9_group_175-200,0.01576405078558879,0.015746749410778416,1.7301374810374526e-05,0.031510800196367206
TUKETIM_M4_group_270-300,0.015757384791229512,0.003861881013603352,0.01189550377762616,0.019619265804832864
ABONELIK_SURESI_yüzde_16,0.015755186747488437,0.006827042020307372,0.008928144727181064,0.02258222876779581
TUKETIM_M5_group_510-üzeri,0.015750758335833615,0.005851078275099453,0.009899680060734162,0.021601836610933067
TUKETIM_M8_group_275-300,0.01573909160470982,0.0010464091879988646,0.016785500792708685,0.014692682416710956
TUKETIM_M14_group_50-75,0.01572762679542622,0.0011414000266309343,0.016869026822057154,0.014586226768795285
TUKETIM_M13_group_325-350,0.01572017366134748,0.005872935422966519,0.009847238238380962,0.021593109084314
TUKETIM_M24_group_25-50,0.015709434515433107,0.008851033619326099,0.006858400896107009,0.024560468134759206
DEMAND_M6_group_4.0-4.4,0.015503995931823333,0.013389603421337493,0.028893599353160826,0.0021143925104858408
TUKETIM_M3_group_625-650,0.015471301523869108,0.00563417079528894,0.021105472319158047,0.009837130728580168
SAYAC_YAS_11.0,0.01534298604568507,0.0016103148000131684,0.016953300845698238,0.013732671245671901
TUKETIM_M19_group_525-550,0.01531625578338075,0.0005887152826444253,0.015904971066025175,0.014727540500736325
TUKETIM_M8_group_600-625,0.01531625578338075,0.0005887152826444253,0.015904971066025175,0.014727540500736325
TUKETIM_M1_group_225-250,0.01531625578338075,0.0005887152826444253,0.015904971066025175,0.014727540500736325
TUKETIM_M21_group_475-500,0.01531625578338075,0.0005887152826444253,0.015904971066025175,0.014727540500736325
TUKETIM_M4_group_510-540,0.01531625578338075,0.0005887152826444253,0.015904971066025175,0.014727540500736325
TUKETIM_M20_group_650-675,0.01531625578338075,0.0005887152826444253,0.015904971066025175,0.014727540500736325
TUKETIM_M2_group_550-575,0.01531625578338075,0.0005887152826444253,0.015904971066025175,0.014727540500736325
TUKETIM_M16_group_630-660,0.01531625578338075,0.0005887152826444253,0.015904971066025175,0.014727540500736325
DEMAND_M4_group_4.8-5.2,0.01531625578338075,0.0005887152826444253,0.015904971066025175,0.014727540500736325
TUKETIM_M8_group_675-700,0.01531625578338075,0.0005887152826444253,0.015904971066025175,0.014727540500736325
TUKETIM_M20_group_550-575,0.01531625578338075,0.0005887152826444253,0.015904971066025175,0.014727540500736325
TUKETIM_M22_group_420-450,0.01531625578338075,0.0005887152826444253,0.015904971066025175,0.014727540500736325
TUKETIM_M18_group_360-390,0.015283130351961771,0.015283130351961771,0.0,0.030566260703923542
TUKETIM_M11_group_240-270,0.015274608902971498,0.00829820926551772,0.0069763996374537784,0.023572818168489218
ABONELIK_SURESI_yüzde_4,0.015266044334219742,0.014281358562929225,0.0009846857712905166,0.029547402897148967
TUKETIM_M20_group_150-175,0.015260626905747587,0.009299841229011618,0.005960785676735969,0.024560468134759206
DEMAND_M3_group_1.1-1.65,0.015259170252688858,0.011285416117880587,0.003973754134808272,0.026544586370569445
DEMAND_M5_group_1.5-2.0,0.015259118380882508,0.01917496223876508,-0.003915843857882573,0.03443408061964759
DEMAND_M10_group_3.0-3.5,0.01525618475148044,0.006328040024299375,0.008928144727181064,0.021584224775779814
TUKETIM_M10_group_175-200,0.015254930746957496,0.01130739752332588,0.003947533223631616,0.026562328270283375
ABONELIK_SURESI_yüzde_20,0.015250378039073198,0.011276623904264926,0.003973754134808272,0.026527001943338124
TUKETIM_M5_group_270-300,0.015248186498420191,0.010297005232338563,0.004951181266081628,0.025545191730758754
DEMAND_M5_group_3.0-3.5,0.015243094503677002,0.009317373631082204,0.005925720872594797,0.024560468134759206
DEMAND_M3_group_6.05-6.55,0.015242858288678995,0.0033473545110528358,0.01189550377762616,0.01859021279973183
TUKETIM_M9_group_0-25,0.015238711403159244,0.01522141002834887,1.7301374810374526e-05,0.030460121431508114
DEMAND_M10_group_3.5-4.0,0.015232077698633384,0.0063521470771464306,0.008879930621486953,0.021584224775779814
TUKETIM_M11_group_270-300,0.01522785033790608,0.012256339214203438,0.0029715111237026415,0.027484189552109517
TUKETIM_M14_group_500-525,0.01522133369875417,0.009330368234969855,0.0058909654637843145,0.024551701933724024
TUKETIM_M6_group_480-510,0.015208300420450183,0.0034349820154893074,0.011773318404960875,0.01864328243593949
TUKETIM_M17_group_240-270,0.0148595730328836,0.0017967298089862083,0.013062843223897391,0.016656302841869808
TUKETIM_M21_group_450-475,0.014838313573298123,0.0010666574927270522,0.015904971066025175,0.01377165608057107
TUKETIM_M22_group_390-420,0.014838313573298123,0.0010666574927270522,0.015904971066025175,0.01377165608057107
TUKETIM_M17_group_420-450,0.014838313573298123,0.0010666574927270522,0.015904971066025175,0.01377165608057107
TUKETIM_M11_group_450-480,0.014838313573298123,0.0010666574927270522,0.015904971066025175,0.01377165608057107
TUKETIM_M16_group_570-600,0.014838313573298123,0.0010666574927270522,0.015904971066025175,0.01377165608057107
TUKETIM_M8_group_500-525,0.014838313573298123,0.0010666574927270522,0.015904971066025175,0.01377165608057107
TUKETIM_M11_group_420-450,0.014838313573298123,0.0010666574927270522,0.015904971066025175,0.01377165608057107
TUKETIM_M22_group_450-480,0.014838313573298123,0.0010666574927270522,0.015904971066025175,0.01377165608057107
TUKETIM_M10_group_525-550,0.014838313573298123,0.0010666574927270522,0.015904971066025175,0.01377165608057107
TUKETIM_M8_group_625-650,0.014838313573298123,0.0010666574927270522,0.015904971066025175,0.01377165608057107
TUKETIM_M4_group_600-630,0.014838313573298123,0.0010666574927270522,0.015904971066025175,0.01377165608057107
TUKETIM_M4_group_570-600,0.014838313573298123,0.0010666574927270522,0.015904971066025175,0.01377165608057107
TUKETIM_M2_group_475-500,0.014818821155848538,0.001086149910176637,0.015904971066025175,0.013732671245671901
TUKETIM_M23_group_275-300,0.014818647116407069,0.001889866526572359,0.01292878058983471,0.016708513642979428
DEMAND_M5_group_1.0-1.5,0.014799333421074423,0.016751505212192153,-0.0019521717911177294,0.031550838633266576
TUKETIM_M14_group_525-550,0.01479248318703269,0.004839893073388446,0.009952590113644244,0.019632376260421136
TUKETIM_M18_group_180-210,0.014773383037996912,0.0028778792603707526,0.01189550377762616,0.017651262298367665
DEMAND_M12_group_5.0-5.5,0.014773383037996912,0.0028778792603707526,0.01189550377762616,0.017651262298367665
TUKETIM_M5_group_180-210,0.014772700446011089,0.010772491284747665,0.004000209161263424,0.025545191730758754
TUKETIM_M6_group_330-360,0.014766145218216897,0.013768464501959954,0.0009976807162569434,0.02853460972017685
TUKETIM_M18_group_30-60,0.014764709008954657,0.00981352774287303,0.004951181266081628,0.024578236751827687
DEMAND_M11_group_1.5-2.0,0.014760214284814499,0.011766787658523625,0.0029934266262908737,0.026527001943338124
DEMAND_M8_group_2.0-2.4,0.014753626666285102,0.006843865518546655,0.007909761147738448,0.021597492184831757
TUKETIM_M22_group_180-210,0.014753594485631405,0.0029194541152522957,0.01183414037037911,0.0176730486008837
TUKETIM_M4_group_360-390,0.014753594485631405,0.0029194541152522957,0.01183414037037911,0.0176730486008837
TUKETIM_M11_group_360-390,0.01475144159990266,0.014734140225092285,1.7301374810374526e-05,0.029485581824994944
TUKETIM_M15_group_175-200,0.014734109553600994,0.008843144089816679,0.0058909654637843145,0.023577253643417673
TUKETIM_M6_group_420-450,0.014723183502922288,0.0029498650979614127,0.011773318404960875,0.0176730486008837
DEMAND_M9_group_2.8-3.2,0.014688890760481799,0.0039889944250787734,0.010699896335403025,0.018677885185560572
TUKETIM_M16_group_480-510,0.014501706637456313,0.006603765681701734,0.021105472319158047,0.007897940955754579
TUKETIM_M13_group_225-250,0.014341639132596784,0.0015633319334283913,0.015904971066025175,0.012778307199168393
TUKETIM_M4_group_420-450,0.014341639132596784,0.0015633319334283913,0.015904971066025175,0.012778307199168393
TUKETIM_M14_group_225-250,0.014309282133515122,0.005283410012457024,0.009025872121058098,0.019592692145972146
TUKETIM_M13_group_275-300,0.014298001499502,0.0016069695665231754,0.015904971066025175,0.012691031932978825
TUKETIM_M19_group_200-225,0.014295127990826662,0.0033119763988596063,0.010983151591967055,0.017607104389686268
TUKETIM_M24_group_50-75,0.014284754360883889,0.0073083547234301105,0.0069763996374537784,0.021593109084314
DEMAND_M6_group_EKSIK,0.014271507222265833,0.008310721545529864,0.005960785676735969,0.022582228767795698
TUKETIM_M15_group_250-275,0.014261999717285423,0.009310818451203795,0.004951181266081628,0.023572818168489218
TUKETIM_M17_group_90-120,0.014260112452681606,0.01230221581760177,0.0019578966350798366,0.026562328270283375
DEMAND_M4_group_0-0.4,0.014259801663881466,0.0063500405161430185,0.007909761147738448,0.020609842180024485
DEMAND_M2_group_2.2-2.75,0.014258287207756015,0.0014611964620006024,0.012797090745755413,0.015719483669756618
TUKETIM_M20_group_375-400,0.014254104118591182,0.011304315125395092,0.0029497889931960897,0.025558419243986275
DEMAND_M9_group_1.2-1.6,0.014245428027895746,0.010323884694197094,0.003921543333698652,0.02456931272209284
TUKETIM_M4_group_0-30,0.014220777987703492,0.006397778713327473,0.007822999274376019,0.020618556701030966
TUKETIM_M19_group_575-600,0.013867255830888991,0.002037715235136184,0.015904971066025175,0.011829540595752808
DEMAND_M9_group_3.2-3.6,0.013851878653309335,0.004826006532251237,0.009025872121058098,0.018677885185560572
TUKETIM_M17_group_30-60,0.013845832617473242,0.0028626810255061863,0.010983151591967055,0.016708513642979428
DEMAND_M4_group_7.6-8.0,0.013843501733307118,0.0020614693327180578,0.015904971066025175,0.01178203240058906
DEMAND_M6_group_3.6-4.0,0.013839511648530312,0.003833536952353389,0.010005974696176922,0.0176730486008837
TUKETIM_M13_group_100-125,0.01383283767250676,0.002849686080539704,0.010983151591967055,0.016682523753046463
TUKETIM_M2_group_400-425,0.013819536800539656,0.0020854342654855196,0.015904971066025175,0.011734102535054136
DEMAND_M3_group_EKSIK,0.013810036196727882,0.004833246239211608,0.008976789957516274,0.01864328243593949
TUKETIM_M16_group_240-270,0.013802057628353237,0.005803980663252106,0.00799807696510113,0.019606038291605343
TUKETIM_M18_group_150-180,0.013797615553015674,0.008784613214780135,0.005013002338235539,0.02258222876779581
DEMAND_M3_group_8.75-9.3,0.013795358213096687,0.0021096128529284885,0.015904971066025175,0.011685745360168198
